Track 0: 
Track 1: Piano RH
Note 69 (A)| velocity 120 | tempo: 0 | time: 173.51 seconds | frame: 4164 => Midi message: (note_on channel=0 note=69 velocity=120 time=0)
Note 60 (C)| velocity 120 | tempo: 102 | time: 174.36 seconds | frame: 4184 => Midi message: (note_on channel=0 note=60 velocity=120 time=102)
Note 64 (E)| velocity 120 | tempo: 0 | time: 174.64 seconds | frame: 4191 => Midi message: (note_on channel=0 note=64 velocity=120 time=0)
Note 69 (A)| velocity 120 | tempo: 4 | time: 174.92 seconds | frame: 4198 => Midi message: (note_on channel=0 note=69 velocity=120 time=4)
Note 71 (B)| velocity 120 | tempo: 6 | time: 175.21 seconds | frame: 4205 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
Note 64 (E)| velocity 120 | tempo: 98 | time: 176.06 seconds | frame: 4225 => Midi message: (note_on channel=0 note=64 velocity=120 time=98)
Note 68 (G#)| velocity 120 | tempo: 2 | time: 176.34 seconds | frame: 4232 => Midi message: (note_on channel=0 note=68 velocity=120 time=2)
Note 71 (B)| velocity 120 | tempo: 2 | time: 176.63 seconds | frame: 4239 => Midi message: (note_on channel=0 note=71 velocity=120 time=2)
Note 72 (C)| velocity 120 | tempo: 2 | time: 176.91 seconds | frame: 4245 => Midi message: (note_on channel=0 note=72 velocity=120 time=2)
Note 64 (E)| velocity 120 | tempo: 98 | time: 177.76 seconds | frame: 4266 => Midi message: (note_on channel=0 note=64 velocity=120 time=98)
Note 76 (E)| velocity 120 | tempo: 0 | time: 178.04 seconds | frame: 4272 => Midi message: (note_on channel=0 note=76 velocity=120 time=0)
Note 75 (D#)| velocity 120 | tempo: 4 | time: 178.32 seconds | frame: 4279 => Midi message: (note_on channel=0 note=75 velocity=120 time=4)
Note 76 (E)| velocity 120 | tempo: 6 | time: 178.61 seconds | frame: 4286 => Midi message: (note_on channel=0 note=76 velocity=120 time=6)
Note 75 (D#)| velocity 120 | tempo: 2 | time: 178.89 seconds | frame: 4293 => Midi message: (note_on channel=0 note=75 velocity=120 time=2)
Note 76 (E)| velocity 120 | tempo: 0 | time: 179.17 seconds | frame: 4300 => Midi message: (note_on channel=0 note=76 velocity=120 time=0)
Note 71 (B)| velocity 120 | tempo: 6 | time: 179.46 seconds | frame: 4306 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
Note 74 (D)| velocity 120 | tempo: 0 | time: 179.74 seconds | frame: 4313 => Midi message: (note_on channel=0 note=74 velocity=120 time=0)
Note 72 (C)| velocity 120 | tempo: 6 | time: 180.02 seconds | frame: 4320 => Midi message: (note_on channel=0 note=72 velocity=120 time=6)
Note 69 (A)| velocity 120 | tempo: 2 | time: 180.31 seconds | frame: 4327 => Midi message: (note_on channel=0 note=69 velocity=120 time=2)
Note 60 (C)| velocity 120 | tempo: 96 | time: 181.15 seconds | frame: 4347 => Midi message: (note_on channel=0 note=60 velocity=120 time=96)
Note 64 (E)| velocity 120 | tempo: 4 | time: 181.43 seconds | frame: 4354 => Midi message: (note_on channel=0 note=64 velocity=120 time=4)
Note 69 (A)| velocity 120 | tempo: 4 | time: 181.72 seconds | frame: 4361 => Midi message: (note_on channel=0 note=69 velocity=120 time=4)
Note 71 (B)| velocity 120 | tempo: 6 | time: 182.01 seconds | frame: 4368 => Midi message: (note_on channel=0 note=71 velocity=120 time=6)
