Track 0: Track 0
Track 1: Für Elise
Note 52 (E)| velocity 70 | tempo: 0 | time: 9.21 seconds | frame: 221 => Midi message: (note_on channel=0 note=52 velocity=70 time=0)
Note 56 (G#)| velocity 76 | tempo: 0 | time: 9.43 seconds | frame: 226 => Midi message: (note_on channel=0 note=56 velocity=76 time=0)
Note 64 (E)| velocity 76 | tempo: 0 | time: 9.64 seconds | frame: 231 => Midi message: (note_on channel=0 note=64 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 9.86 seconds | frame: 236 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 10.07 seconds | frame: 241 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 69 (A)| velocity 83 | tempo: 0 | time: 10.29 seconds | frame: 246 => Midi message: (note_on channel=0 note=69 velocity=83 time=0)
Note 45 (A)| velocity 64 | tempo: 0 | time: 10.29 seconds | frame: 246 => Midi message: (note_on channel=0 note=45 velocity=64 time=0)
Note 52 (E)| velocity 70 | tempo: 0 | time: 10.50 seconds | frame: 252 => Midi message: (note_on channel=0 note=52 velocity=70 time=0)
Note 57 (A)| velocity 70 | tempo: 0 | time: 10.71 seconds | frame: 257 => Midi message: (note_on channel=0 note=57 velocity=70 time=0)
Note 76 (E)| velocity 64 | tempo: 240 | time: 11.14 seconds | frame: 267 => Midi message: (note_on channel=0 note=76 velocity=64 time=240)
Note 75 (D#)| velocity 70 | tempo: 0 | time: 11.36 seconds | frame: 272 => Midi message: (note_on channel=0 note=75 velocity=70 time=0)
Note 76 (E)| velocity 70 | tempo: 0 | time: 11.57 seconds | frame: 277 => Midi message: (note_on channel=0 note=76 velocity=70 time=0)
Note 75 (D#)| velocity 64 | tempo: 0 | time: 11.79 seconds | frame: 282 => Midi message: (note_on channel=0 note=75 velocity=64 time=0)
Note 76 (E)| velocity 76 | tempo: 0 | time: 12.00 seconds | frame: 288 => Midi message: (note_on channel=0 note=76 velocity=76 time=0)
Note 71 (B)| velocity 76 | tempo: 0 | time: 12.21 seconds | frame: 293 => Midi message: (note_on channel=0 note=71 velocity=76 time=0)
Note 74 (D)| velocity 76 | tempo: 0 | time: 12.43 seconds | frame: 298 => Midi message: (note_on channel=0 note=74 velocity=76 time=0)
Note 72 (C)| velocity 76 | tempo: 0 | time: 12.64 seconds | frame: 303 => Midi message: (note_on channel=0 note=72 velocity=76 time=0)
Note 69 (A)| velocity 76 | tempo: 0 | time: 12.86 seconds | frame: 308 => Midi message: (note_on channel=0 note=69 velocity=76 time=0)
Note 45 (A)| velocity 76 | tempo: 0 | time: 12.86 seconds | frame: 308 => Midi message: (note_on channel=0 note=45 velocity=76 time=0)
Note 52 (E)| velocity 76 | tempo: 0 | time: 13.07 seconds | frame: 313 => Midi message: (note_on channel=0 note=52 velocity=76 time=0)
Note 57 (A)| velocity 76 | tempo: 0 | time: 13.29 seconds | frame: 318 => Midi message: (note_on channel=0 note=57 velocity=76 time=0)
Note 60 (C)| velocity 76 | tempo: 0 | time: 13.50 seconds | frame: 324 => Midi message: (note_on channel=0 note=60 velocity=76 time=0)
